replicate,arm,task_id,repository,position,global_position,agg_score,is_failure,inputTokens,outputTokens,totalTokens,totalTokens_raw,runtimeSec,turns
ctxlimit,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,1.0,False,,,1432206,41855.0,,40
ctxlimit,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.875,False,,,2304546,48386.0,1301.342,70
ctxlimit,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.0,True,,,1325177,,,37
ctxlimit,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,2597773,2594095.0,,73
ctxlimit,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.5,False,,,4015103,60966.0,1335.049,99
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,2217613,55784.0,,56
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.9230769230769231,False,1345597.0,8403.0,1354000,46296.0,625.765,42
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,6690300,46026.0,,133
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,6669813,59816.0,,176
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,,,1620256,56953.0,639.598,41
ctxlimit,repo-scope,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.6,False,,,2957473,56546.0,976.792,78
ctxlimit,repo-scope,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.0,True,,,13731269,6862286.0,,336
ctxlimit,repo-scope,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.0,True,,,22599026,11286666.0,,462
ctxlimit,repo-scope,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,2143452,58012.0,497.417,52
ctxlimit,repo-scope,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.0,True,,,10948122,5473235.0,,250
ctxlimit,repo-scope,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5,False,,,8118723,55947.0,,173
ctxlimit,repo-scope,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.9230769230769231,False,,,12448005,68523.0,,246
ctxlimit,repo-scope,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,0.8888888888888888,False,,,2394277,51911.0,404.73,74
ctxlimit,repo-scope,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.6,False,,,4258008,60751.0,705.643,102
ctxlimit,repo-scope,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,,,2236848,53476.0,402.976,64
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,1.0,False,,,6695566,63008.0,,162
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.75,False,1333086.0,6100.0,1339186,40249.0,258.96,46
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,1.0,False,,,4319138,54807.0,,105
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.0,True,,,3101296,3096869.0,,78
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,1.0,False,,,3017234,41220.0,,83
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7857142857142857,False,,,3588018,62278.0,,83
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,1.0,False,,,3637520,58370.0,,88
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.8461538461538461,False,678971.0,4510.0,683481,30577.0,158.838,29
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.0,True,,,11579713,5786631.0,,264
ctxlimit,repo-scope,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.8,False,,,1005315,48308.0,241.381,31
ctxlimit,repo-scope,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,0.0,True,,,6546996,3274084.0,,166
ctxlimit,repo-scope,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.875,False,,,2255213,39016.0,,60
ctxlimit,repo-scope,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.0,True,,,9358764,4674665.0,,244
ctxlimit,repo-scope,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,6191555,3096183.0,,150
ctxlimit,repo-scope,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.625,False,,,2411235,57971.0,436.068,65
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,1605595,54573.0,1187.64,40
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,,,2352857,59034.0,1393.31,54
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,20802707,71700.0,,341
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,2402435,55392.0,1433.403,63
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,,,1562089,58896.0,1200.754,38
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.6,False,,,1928775,58297.0,1134.875,50
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,,,16185108,8079145.0,,372
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.7142857142857143,False,,,6756341,42550.0,,156
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,1921630,54614.0,1519.097,50
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.8181818181818182,False,,,2493067,32177.0,,59
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,,,1236175,39276.0,,41
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.8461538461538461,False,,,4391600,47942.0,,113
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,1899246.0,8421.0,1907667,47837.0,2149.044,57
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.7333333333333333,False,,,3767016,62301.0,2432.282,84
ctxlimit-rerun1,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,,,1488555,54493.0,1463.081,37
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,1.0,False,,,2746477,53399.0,2000.018,78
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.875,False,,,1278660,49251.0,1080.77,37
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,,,3446178,3437810.0,,96
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.0,False,,,8689109,4331236.0,,210
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.0,True,,,15043394,7518266.0,,362
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7142857142857143,False,,,1049548,52622.0,1155.207,31
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,,,1815778,32819.0,,50
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,457582.0,3372.0,460954,34428.0,694.502,19
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.0,True,,,2973759,2969596.0,,79
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.9,False,,,1738097,47564.0,1518.515,55
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,1.0,False,,,1432206,41855.0,,40
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.875,False,,,2304546,48386.0,1301.342,70
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.0,True,,,1325177,,,37
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,2597773,2594095.0,,73
ctxlimit-rerun1,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.5,False,,,4015103,60966.0,1335.049,99
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,0.9,False,,,1442667,54521.0,1168.208,37
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.8461538461538461,False,1601081.0,7521.0,1608602,44168.0,916.778,57
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.7272727272727273,False,,,8002896,68534.0,,170
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,4366703,59142.0,,105
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,0.0,True,1881929.0,10079.0,1892008,43466.0,1091.853,65
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.0,True,,,11738744,11715911.0,,240
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.4166666666666667,False,,,5957336,46420.0,,141
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.0,True,,,1875780,,,50
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,3388613,59545.0,3089.963,87
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.0,True,,,18215364,9101985.0,,386
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5,False,,,2533723,51150.0,1699.94,73
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.9230769230769231,False,,,14030997,65969.0,,277
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,0.0,False,,,4395999,64923.0,3622.958,114
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.0,False,,,3061716,63080.0,1576.978,71
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.0,False,1362245.0,14652.0,1376897,45970.0,1955.918,47
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,0.0,True,,,7417741,,,186
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.75,False,1752739.0,5855.0,1758594,40998.0,1446.19,60
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.0,True,,,3727290,3722492.0,,98
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.8181818181818182,False,,,1832925,56117.0,1399.694,47
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.9090909090909091,False,,,2033215,58418.0,1467.18,54
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.0,True,,,1700397,,,46
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,,,1542964,52329.0,914.202,41
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.8461538461538461,False,2393483.0,9167.0,2402650,40879.0,1680.072,79
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.0,True,,,4363292,4357542.0,,105
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.7,False,,,4344157,48564.0,,106
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,1.0,False,,,3149962,58208.0,,76
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.0,True,,,5656697,5646452.0,,128
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.6,False,,,12228720,6098814.0,,272
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,5673245,5663736.0,,126
ctxlimit-rerun1,repo-scope,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.75,False,,,7357620,62883.0,,162
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,1.0,False,,,1605595,54573.0,1187.64,40
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,,,2352857,59034.0,1393.31,54
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.8181818181818182,False,,,20802707,71700.0,,341
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,1.0,False,,,2402435,55392.0,1433.403,63
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,1.0,False,,,1562089,58896.0,1200.754,38
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.6,False,,,1928775,58297.0,1134.875,50
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,,,16185108,8079145.0,,372
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.7142857142857143,False,,,6756341,42550.0,,156
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.6,False,,,1921630,54614.0,1519.097,50
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.8181818181818182,False,,,2493067,32177.0,,59
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.5833333333333334,False,,,1236175,39276.0,,41
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.8461538461538461,False,,,4391600,47942.0,,113
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,1.0,False,1899246.0,8421.0,1907667,47837.0,2149.044,57
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.7333333333333333,False,,,3767016,62301.0,2432.282,84
ctxlimit-rerun2,control,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.875,False,,,1488555,54493.0,1463.081,37
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,1.0,False,,,2746477,53399.0,2000.018,78
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,0.875,False,,,1278660,49251.0,1080.77,37
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,,,3446178,3437810.0,,96
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.0,False,,,8689109,4331236.0,,210
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.0,True,,,15043394,7518266.0,,362
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7142857142857143,False,,,1049548,52622.0,1155.207,31
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.8,False,,,1815778,32819.0,,50
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.7692307692307693,False,457582.0,3372.0,460954,34428.0,694.502,19
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.0,True,,,2973759,2969596.0,,79
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.9,False,,,1738097,47564.0,1518.515,55
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,1.0,False,,,1432206,41855.0,,40
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,0.875,False,,,2304546,48386.0,1301.342,70
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.0,True,,,1325177,,,37
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,2597773,2594095.0,,73
ctxlimit-rerun2,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.5,False,,,4015103,60966.0,1335.049,99
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a4,simple-login/app,1,1,0.9,False,,,2464785,40464.0,,63
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a5,simple-login/app,2,2,0.6923076923076923,False,,,2197846,57069.0,1157.954,52
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a6,simple-login/app,3,3,0.0,True,,,11299697,,,189
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a7,simple-login/app,4,4,0.0,True,,,1586407,,,54
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a8,simple-login/app,5,5,0.0,True,,,1518404,65402.0,1739.148,34
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9a9,simple-login/app,6,6,0.4,False,,,3081472,60930.0,2363.456,77
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9aa,simple-login/app,7,7,0.6666666666666666,False,,,2298404,58978.0,3146.061,72
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9ab,simple-login/app,8,8,0.8571428571428571,False,,,4323560,45420.0,,90
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9ac,simple-login/app,9,9,0.0,True,,,3056594,,,72
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9ad,simple-login/app,10,10,0.0,False,,,7138822,53722.0,,165
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9ae,simple-login/app,11,11,0.0,False,,,3818524,62701.0,2107.118,94
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9af,simple-login/app,12,12,0.0,True,,,3161444,,,77
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9b2,simple-login/app,13,13,0.8888888888888888,False,,,1926426,55278.0,2530.903,52
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9e8,simple-login/app,14,14,0.0,True,,,2262991,,,63
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97baa1d,simple-login/app,15,15,0.0,True,,,608842,,,27
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,16,0.0,True,,,9319825,9306472.0,,216
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,17,1.0,False,,,4156151,,,101
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,3,18,0.9090909090909091,False,,,1394948,53837.0,1096.815,38
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,4,19,0.8181818181818182,False,,,3995639,3981649.0,,98
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,5,20,0.9090909090909091,False,,,8027502,67404.0,,168
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,6,21,0.7857142857142857,False,,,754670,43317.0,,23
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,7,22,0.9,False,,,3460947,58760.0,,79
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,8,23,0.8461538461538461,False,527462.0,5137.0,532599,29722.0,597.779,25
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,9,24,0.5,False,,,2792284,37608.0,,72
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,10,25,0.8,False,,,1085285,47156.0,885.346,32
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,11,26,0.0,True,,,3650360,1828125.0,,108
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,12,27,1.0,False,,,2273899,53005.0,1502.615,66
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,13,28,0.6,False,,,934143,48459.0,1017.67,29
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,14,29,0.0,True,,,3690114,3679858.0,,86
ctxlimit-rerun2,repo-scope,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,15,30,0.5,False,,,2539797,53466.0,756.286,66
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9ac,simple-login/app,1,1,0.0,True,,,5699169,,,130
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9ae,simple-login/app,2,2,0.6666666666666666,False,,,2841122,56336.0,2063.83,80
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9af,simple-login/app,3,3,0.23076923076923078,False,,,4570199,,,119
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9ad,simple-login/app,4,4,0.5454545454545454,False,,,3824373,48239.0,,92
ctxlimit-shuffle1,control,task-6905333b74f22949d97baa1d,simple-login/app,5,5,0.875,False,,,817213,47708.0,934.413,24
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9a5,simple-login/app,6,6,0.6923076923076923,False,,,979848,51905.0,670.067,26
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9e8,simple-login/app,7,7,0.5333333333333333,False,,,3671525,,,93
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9aa,simple-login/app,8,8,0.0,True,,,10860856,5429411.0,,258
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9ab,simple-login/app,9,9,0.0,True,,,8501605,8491686.0,,197
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9a8,simple-login/app,10,10,1.0,False,,,2477417,52903.0,1531.639,68
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9b2,simple-login/app,11,11,0.0,False,,,4156158,69695.0,3071.132,93
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9a4,simple-login/app,12,12,0.0,False,,,9911723,9877222.0,,213
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9a9,simple-login/app,13,13,0.8,False,,,11269326,53871.0,,236
ctxlimit-shuffle1,control,task-6905333b74f22949d97ba9a6,simple-login/app,14,14,0.0,True,,,13272142,13229162.0,,355
