replicate,task_id,repository,call_seq,query,n_notes_parsed,query_question_overlap,n_cross_repo,n_same_repo,n_origin_unknown,cross_repo_frac
pilot30-shuffle1,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,2,paperless-ngx async task queue django-q background processing,5,0.09090909090909091,0,5,0,0.0
pilot30-shuffle1,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,Paperless-NGX repository file handling tags duplicate classifier,5,0.038461538461538464,2,3,0,0.4
pilot30-shuffle1,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,2,paperless-ngx file handling tag rename rollback classifier duplicate sanity,5,0.04580152671755725,1,3,1,0.2
pilot30-shuffle1,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,paperless-ngx document processing OCR,5,0.04,0,5,0,0.0
pilot30-shuffle1,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,Paperless-NGX ingestion document processing codebase,5,0.043478260869565216,2,3,0,0.4
pilot30-shuffle1,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,1,Paperless memory usage metadata processing,5,0.043859649122807015,0,5,0,0.0
pilot30-shuffle1,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,documents list pagination duplicate browsing filters,5,0.054945054945054944,3,2,0,0.6
pilot30-shuffle1,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,2,paperless-ngx documents pagination duplicate haunting ordering,5,0.03225806451612903,2,3,0,0.4
pilot30-shuffle1,task-6905333b74f22949d97ba9e8,simple-login/app,1,SimpleLogin authentication API sessions email forwarding alias tokens,5,0.040268456375838924,0,5,0,0.0
pilot30-shuffle1,task-6905333b74f22949d97baa1d,simple-login/app,1,SimpleLogin session handling Redis deserialization,5,0.07352941176470588,0,5,0,0.0
pilot30-shuffle1,task-6905333b74f22949d97baa1d,simple-login/app,2,SimpleLogin session corruption pickle deserialization itsdangerous,5,0.04225352112676056,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a4,simple-login/app,1,SimpleLogin backend startup dev mode,5,0.046153846153846156,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a4,simple-login/app,2,SimpleLogin startup configuration logging background jobs,5,0.06060606060606061,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a5,simple-login/app,1,alias creation signed suffix validation rate limit,5,0.06756756756756757,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a5,simple-login/app,2,signed suffix validation error status code 412 400 429 409,5,0.0547945205479452,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a6,simple-login/app,1,email privacy system anonymous aliases initialization database migration,5,,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a7,simple-login/app,1,SimpleLogin workflow mailbox verification code email forwarding,1,0.05555555555555555,0,1,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9a9,simple-login/app,1,SimpleLogin alias reply handling routing,5,0.0641025641025641,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9aa,simple-login/app,1,SimpleLogin application structure setup,5,0.028985507246376812,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9aa,simple-login/app,2,SimpleLogin email handler job runner web server startup logs confirmation,5,0.08695652173913043,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9ab,simple-login/app,1,SimpleLogin alias creation frontend backend database,5,0.0594059405940594,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9ab,simple-login/app,2,alias creation flow database tables touched events background tasks,5,0.0891089108910891,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9ac,simple-login/app,1,SimpleLogin email forwarding SL Message-ID alias,0,0.07142857142857142,0,0,0,
pilot30-shuffle2,task-6905333b74f22949d97ba9ac,simple-login/app,2,email forwarding log messages email handler forward success failure,1,0.0547945205479452,0,1,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9ad,simple-login/app,1,SimpleLogin codebase setup authentication email,5,0.03614457831325301,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9ae,simple-login/app,1,SimpleLogin inbound email reply contact resolution alias forwarding,5,0.0898876404494382,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9af,simple-login/app,1,codebase structure server database PostgreSQL setup,5,0.037383177570093455,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9af,simple-login/app,2,database migrations login server startup services email handler SMTP,5,0.08490566037735849,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,paperless-ngx background maintenance tasks,5,0.05333333333333334,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,Paperless-NGX search index synchronization document changes,5,0.0423728813559322,1,3,1,0.2
pilot30-shuffle2,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,2,Paperless-NGX document update API index sync add_to_index bulk_update_documents,5,0.03333333333333333,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,paperless-ngx document processing metadata,5,0.06666666666666667,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,1,paperless-ngx document processing pipeline,5,0.05263157894736842,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,Paperless-NGX runtime background processes,5,0.06557377049180328,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,1,Paperless-NGX document ingestion pipeline,5,0.03896103896103896,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,paperless-ngx OCR processing pipeline,5,0.04054054054054054,2,3,0,0.4
pilot30-shuffle2,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,paperless API authentication token,5,0.041666666666666664,2,3,0,0.4
pilot30-shuffle2,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,document classification machine learning pipeline test training OCR,5,0.08974358974358974,0,2,3,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,paperless-ngx background processing async queue tasks,5,0.07575757575757576,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,Paperless-NGX file handling tags classifier duplicate,5,0.038461538461538464,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,2,Paperless-NGX rollback move file tag change rename path,5,0.03816793893129771,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,paperless-ngx OCR PDF processing,5,0.02666666666666667,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,Paperless-NGX codebase document ingestion workflow,5,0.043478260869565216,4,0,1,0.8
pilot30-shuffle2,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,2,Paperless-NGX document ingestion workflow Django Q task queue Redis,5,0.05263157894736842,2,3,0,0.4
pilot30-shuffle2,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,1,Paperless memory usage metadata processing,5,0.043859649122807015,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,documents list pagination duplicates sort order,5,0.06666666666666667,1,4,0,0.2
pilot30-shuffle2,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,2,pagination ordering unstable distinct M2M tag filter,5,0.03260869565217391,1,4,0,0.2
pilot30-shuffle2,task-6905333b74f22949d97baa1d,simple-login/app,1,SimpleLogin session handling Redis deserialization,5,0.07352941176470588,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97baa1d,simple-login/app,2,SimpleLogin session Redis deserialization pickle corruption,5,0.05714285714285714,0,5,0,0.0
