replicate,repository,position,similarity
pilot30,simple-login/app,5,45
pilot30,simple-login/app,5,57
pilot30,simple-login/app,6,65
pilot30,simple-login/app,6,58
pilot30,simple-login/app,6,53
pilot30,simple-login/app,6,64
pilot30,simple-login/app,6,53
pilot30,simple-login/app,6,56
pilot30,simple-login/app,6,55
pilot30,simple-login/app,6,58
pilot30,simple-login/app,6,49
pilot30,simple-login/app,6,42
pilot30,simple-login/app,6,53
pilot30,simple-login/app,6,53
pilot30,simple-login/app,6,56
pilot30,simple-login/app,6,55
pilot30,simple-login/app,6,55
pilot30,simple-login/app,6,51
pilot30,simple-login/app,6,48
pilot30,simple-login/app,6,49
pilot30,simple-login/app,6,51
pilot30,simple-login/app,6,51
pilot30,simple-login/app,6,45
pilot30,simple-login/app,6,44
pilot30,simple-login/app,6,44
pilot30,simple-login/app,6,37
pilot30,simple-login/app,6,48
pilot30,simple-login/app,6,41
pilot30,simple-login/app,7,53
pilot30,simple-login/app,7,69
pilot30,simple-login/app,7,66
pilot30,simple-login/app,7,56
pilot30,simple-login/app,7,59
pilot30,simple-login/app,7,54
pilot30,simple-login/app,7,54
pilot30,simple-login/app,7,61
pilot30,simple-login/app,7,41
pilot30,simple-login/app,7,65
pilot30,simple-login/app,7,51
pilot30,simple-login/app,7,59
pilot30,simple-login/app,7,56
pilot30,simple-login/app,8,65
pilot30,simple-login/app,8,50
pilot30,simple-login/app,8,59
pilot30,simple-login/app,8,61
pilot30,simple-login/app,8,55
pilot30,simple-login/app,8,46
pilot30,simple-login/app,8,48
pilot30,simple-login/app,8,48
pilot30,simple-login/app,8,48
pilot30,simple-login/app,8,52
pilot30,simple-login/app,8,31
pilot30,simple-login/app,8,55
pilot30,simple-login/app,8,63
pilot30,simple-login/app,8,58
pilot30,simple-login/app,8,53
pilot30,simple-login/app,8,50
pilot30,simple-login/app,8,47
pilot30,simple-login/app,8,47
pilot30,simple-login/app,8,34
pilot30,simple-login/app,8,40
pilot30,simple-login/app,8,45
pilot30,simple-login/app,8,30
pilot30,simple-login/app,8,32
pilot30,simple-login/app,8,34
pilot30,simple-login/app,8,40
pilot30,simple-login/app,8,36
pilot30,simple-login/app,8,69
pilot30,simple-login/app,8,54
pilot30,simple-login/app,8,62
pilot30,simple-login/app,8,69
pilot30,simple-login/app,8,65
pilot30,simple-login/app,8,69
pilot30,simple-login/app,8,59
pilot30,simple-login/app,8,47
pilot30,simple-login/app,8,61
pilot30,simple-login/app,8,59
pilot30,simple-login/app,8,66
pilot30,simple-login/app,8,49
pilot30,simple-login/app,8,47
pilot30,simple-login/app,9,62
pilot30,simple-login/app,9,62
pilot30,simple-login/app,9,61
pilot30,simple-login/app,9,62
pilot30,simple-login/app,9,60
pilot30,simple-login/app,9,58
pilot30,simple-login/app,9,58
pilot30,simple-login/app,9,61
pilot30,simple-login/app,9,49
pilot30,simple-login/app,9,62
pilot30,simple-login/app,9,42
pilot30,simple-login/app,9,58
pilot30,simple-login/app,9,64
pilot30,simple-login/app,10,72
pilot30,simple-login/app,10,71
pilot30,simple-login/app,10,63
pilot30,simple-login/app,10,66
pilot30,simple-login/app,10,68
pilot30,simple-login/app,10,52
pilot30,simple-login/app,10,52
pilot30,simple-login/app,10,54
pilot30,simple-login/app,10,55
pilot30,simple-login/app,10,46
pilot30,simple-login/app,10,55
pilot30,simple-login/app,10,60
pilot30,simple-login/app,10,50
pilot30,simple-login/app,10,72
pilot30,simple-login/app,10,71
pilot30,simple-login/app,10,63
pilot30,simple-login/app,10,66
pilot30,simple-login/app,10,68
pilot30,simple-login/app,10,52
pilot30,simple-login/app,10,52
pilot30,simple-login/app,10,54
pilot30,simple-login/app,10,55
pilot30,simple-login/app,10,46
pilot30,simple-login/app,10,55
pilot30,simple-login/app,10,60
pilot30,simple-login/app,10,69
pilot30,simple-login/app,11,68
pilot30,simple-login/app,11,52
pilot30,simple-login/app,11,63
pilot30,simple-login/app,11,58
pilot30,simple-login/app,11,54
pilot30,simple-login/app,11,48
pilot30,simple-login/app,11,56
pilot30,simple-login/app,11,52
pilot30,simple-login/app,11,56
pilot30,simple-login/app,11,46
pilot30,simple-login/app,11,53
pilot30,simple-login/app,11,58
pilot30,simple-login/app,11,50
pilot30,simple-login/app,12,49
pilot30,simple-login/app,12,55
pilot30,simple-login/app,12,52
pilot30,simple-login/app,12,50
pilot30,simple-login/app,12,48
pilot30,simple-login/app,12,42
pilot30,simple-login/app,12,41
pilot30,simple-login/app,12,41
pilot30,simple-login/app,12,37
pilot30,simple-login/app,12,35
pilot30,simple-login/app,12,41
pilot30,simple-login/app,12,37
pilot30,simple-login/app,12,44
pilot30,simple-login/app,13,54
pilot30,simple-login/app,13,61
pilot30,simple-login/app,13,66
pilot30,simple-login/app,13,64
pilot30,simple-login/app,13,64
pilot30,simple-login/app,13,53
pilot30,simple-login/app,13,57
pilot30,simple-login/app,13,56
pilot30,simple-login/app,13,52
pilot30,simple-login/app,13,61
pilot30,simple-login/app,13,56
pilot30,simple-login/app,13,55
pilot30,simple-login/app,13,59
pilot30,simple-login/app,13,68
pilot30,simple-login/app,13,65
pilot30,simple-login/app,13,53
pilot30,simple-login/app,13,63
pilot30,simple-login/app,13,61
pilot30,simple-login/app,13,60
pilot30,simple-login/app,13,57
pilot30,simple-login/app,13,52
pilot30,simple-login/app,13,48
pilot30,simple-login/app,13,54
pilot30,simple-login/app,13,52
pilot30,simple-login/app,13,54
pilot30,simple-login/app,13,43
pilot30,simple-login/app,14,64
pilot30,simple-login/app,14,68
pilot30,simple-login/app,14,69
pilot30,simple-login/app,14,66
pilot30,simple-login/app,14,71
pilot30,simple-login/app,14,65
pilot30,simple-login/app,14,53
pilot30,simple-login/app,14,61
pilot30,simple-login/app,14,60
pilot30,simple-login/app,14,60
pilot30,simple-login/app,14,62
pilot30,simple-login/app,14,59
pilot30,simple-login/app,14,58
pilot30,simple-login/app,15,49
pilot30,simple-login/app,15,68
pilot30,simple-login/app,15,54
pilot30,simple-login/app,15,55
pilot30,simple-login/app,15,50
pilot30,simple-login/app,15,46
pilot30,simple-login/app,15,50
pilot30,simple-login/app,15,48
pilot30,simple-login/app,15,49
pilot30,simple-login/app,15,52
pilot30,simple-login/app,15,54
pilot30,simple-login/app,15,46
pilot30,simple-login/app,15,52
pilot30,simple-login/app,15,58
pilot30,simple-login/app,15,41
pilot30,simple-login/app,15,40
pilot30,simple-login/app,15,37
pilot30,simple-login/app,15,38
pilot30,simple-login/app,15,36
pilot30,simple-login/app,15,38
pilot30,simple-login/app,15,36
pilot30,simple-login/app,15,34
pilot30,simple-login/app,15,31
pilot30,simple-login/app,15,36
pilot30,simple-login/app,15,31
pilot30,simple-login/app,15,33
pilot30,paperless-ngx/paperless-ngx,3,63
pilot30,paperless-ngx/paperless-ngx,3,63
pilot30,paperless-ngx/paperless-ngx,4,63
pilot30,paperless-ngx/paperless-ngx,4,31
pilot30,paperless-ngx/paperless-ngx,4,72
pilot30,paperless-ngx/paperless-ngx,4,72
pilot30,paperless-ngx/paperless-ngx,4,68
pilot30,paperless-ngx/paperless-ngx,4,63
pilot30,paperless-ngx/paperless-ngx,4,59
pilot30,paperless-ngx/paperless-ngx,5,63
pilot30,paperless-ngx/paperless-ngx,5,58
pilot30,paperless-ngx/paperless-ngx,5,62
pilot30,paperless-ngx/paperless-ngx,5,60
pilot30,paperless-ngx/paperless-ngx,5,57
pilot30,paperless-ngx/paperless-ngx,6,76
pilot30,paperless-ngx/paperless-ngx,6,68
pilot30,paperless-ngx/paperless-ngx,6,57
pilot30,paperless-ngx/paperless-ngx,6,63
pilot30,paperless-ngx/paperless-ngx,6,61
pilot30,paperless-ngx/paperless-ngx,7,65
pilot30,paperless-ngx/paperless-ngx,7,60
pilot30,paperless-ngx/paperless-ngx,7,55
pilot30,paperless-ngx/paperless-ngx,7,57
pilot30,paperless-ngx/paperless-ngx,7,55
pilot30,paperless-ngx/paperless-ngx,7,63
pilot30,paperless-ngx/paperless-ngx,7,55
pilot30,paperless-ngx/paperless-ngx,7,51
pilot30,paperless-ngx/paperless-ngx,7,53
pilot30,paperless-ngx/paperless-ngx,7,48
pilot30,paperless-ngx/paperless-ngx,8,49
pilot30,paperless-ngx/paperless-ngx,8,48
pilot30,paperless-ngx/paperless-ngx,8,44
pilot30,paperless-ngx/paperless-ngx,8,48
pilot30,paperless-ngx/paperless-ngx,8,42
pilot30,paperless-ngx/paperless-ngx,9,57
pilot30,paperless-ngx/paperless-ngx,9,49
pilot30,paperless-ngx/paperless-ngx,9,42
pilot30,paperless-ngx/paperless-ngx,9,40
pilot30,paperless-ngx/paperless-ngx,9,42
pilot30,paperless-ngx/paperless-ngx,9,35
pilot30,paperless-ngx/paperless-ngx,9,40
pilot30,paperless-ngx/paperless-ngx,9,40
pilot30,paperless-ngx/paperless-ngx,9,38
pilot30,paperless-ngx/paperless-ngx,9,41
pilot30,paperless-ngx/paperless-ngx,10,65
pilot30,paperless-ngx/paperless-ngx,10,58
pilot30,paperless-ngx/paperless-ngx,10,58
pilot30,paperless-ngx/paperless-ngx,10,56
pilot30,paperless-ngx/paperless-ngx,10,55
pilot30,paperless-ngx/paperless-ngx,10,59
pilot30,paperless-ngx/paperless-ngx,10,55
pilot30,paperless-ngx/paperless-ngx,10,54
pilot30,paperless-ngx/paperless-ngx,10,55
pilot30,paperless-ngx/paperless-ngx,10,40
pilot30,paperless-ngx/paperless-ngx,10,36
pilot30,paperless-ngx/paperless-ngx,10,39
pilot30,paperless-ngx/paperless-ngx,10,31
pilot30,paperless-ngx/paperless-ngx,11,60
pilot30,paperless-ngx/paperless-ngx,11,56
pilot30,paperless-ngx/paperless-ngx,11,53
pilot30,paperless-ngx/paperless-ngx,11,55
pilot30,paperless-ngx/paperless-ngx,11,55
pilot30,paperless-ngx/paperless-ngx,11,51
pilot30,paperless-ngx/paperless-ngx,11,48
pilot30,paperless-ngx/paperless-ngx,11,41
pilot30,paperless-ngx/paperless-ngx,11,49
pilot30,paperless-ngx/paperless-ngx,11,55
pilot30,paperless-ngx/paperless-ngx,11,48
pilot30,paperless-ngx/paperless-ngx,11,36
pilot30,paperless-ngx/paperless-ngx,11,43
pilot30,paperless-ngx/paperless-ngx,11,64
pilot30,paperless-ngx/paperless-ngx,11,62
pilot30,paperless-ngx/paperless-ngx,11,67
pilot30,paperless-ngx/paperless-ngx,11,60
pilot30,paperless-ngx/paperless-ngx,11,55
pilot30,paperless-ngx/paperless-ngx,11,58
pilot30,paperless-ngx/paperless-ngx,11,58
pilot30,paperless-ngx/paperless-ngx,11,52
pilot30,paperless-ngx/paperless-ngx,11,54
pilot30,paperless-ngx/paperless-ngx,11,55
pilot30,paperless-ngx/paperless-ngx,11,61
pilot30,paperless-ngx/paperless-ngx,11,47
pilot30,paperless-ngx/paperless-ngx,11,56
pilot30,paperless-ngx/paperless-ngx,12,67
pilot30,paperless-ngx/paperless-ngx,12,64
pilot30,paperless-ngx/paperless-ngx,12,61
pilot30,paperless-ngx/paperless-ngx,12,61
pilot30,paperless-ngx/paperless-ngx,12,61
pilot30,paperless-ngx/paperless-ngx,12,62
pilot30,paperless-ngx/paperless-ngx,12,59
pilot30,paperless-ngx/paperless-ngx,12,58
pilot30,paperless-ngx/paperless-ngx,12,58
pilot30,paperless-ngx/paperless-ngx,12,46
pilot30,paperless-ngx/paperless-ngx,12,55
pilot30,paperless-ngx/paperless-ngx,12,41
pilot30,paperless-ngx/paperless-ngx,12,33
pilot30,paperless-ngx/paperless-ngx,13,77
pilot30,paperless-ngx/paperless-ngx,13,72
pilot30,paperless-ngx/paperless-ngx,13,65
pilot30,paperless-ngx/paperless-ngx,13,68
pilot30,paperless-ngx/paperless-ngx,13,70
pilot30,paperless-ngx/paperless-ngx,13,66
pilot30,paperless-ngx/paperless-ngx,13,59
pilot30,paperless-ngx/paperless-ngx,13,61
pilot30,paperless-ngx/paperless-ngx,13,60
pilot30,paperless-ngx/paperless-ngx,13,51
pilot30,paperless-ngx/paperless-ngx,13,47
pilot30,paperless-ngx/paperless-ngx,13,50
pilot30,paperless-ngx/paperless-ngx,13,45
pilot30,paperless-ngx/paperless-ngx,14,60
pilot30,paperless-ngx/paperless-ngx,14,56
pilot30,paperless-ngx/paperless-ngx,14,54
pilot30,paperless-ngx/paperless-ngx,14,59
pilot30,paperless-ngx/paperless-ngx,14,59
pilot30,paperless-ngx/paperless-ngx,14,54
pilot30,paperless-ngx/paperless-ngx,14,54
pilot30,paperless-ngx/paperless-ngx,14,50
pilot30,paperless-ngx/paperless-ngx,14,54
pilot30,paperless-ngx/paperless-ngx,14,51
pilot30,paperless-ngx/paperless-ngx,14,53
pilot30,paperless-ngx/paperless-ngx,14,55
pilot30,paperless-ngx/paperless-ngx,14,54
pilot30,paperless-ngx/paperless-ngx,15,53
pilot30,paperless-ngx/paperless-ngx,15,49
pilot30,paperless-ngx/paperless-ngx,15,46
pilot30,paperless-ngx/paperless-ngx,15,52
pilot30,paperless-ngx/paperless-ngx,15,48
pilot30,paperless-ngx/paperless-ngx,15,34
pilot30,paperless-ngx/paperless-ngx,15,35
pilot30,paperless-ngx/paperless-ngx,15,48
pilot30,paperless-ngx/paperless-ngx,15,46
pilot30,paperless-ngx/paperless-ngx,15,41
pilot30,paperless-ngx/paperless-ngx,15,47
pilot30,paperless-ngx/paperless-ngx,15,47
pilot30,paperless-ngx/paperless-ngx,15,50
pilot30,paperless-ngx/paperless-ngx,15,60
pilot30,paperless-ngx/paperless-ngx,15,56
pilot30,paperless-ngx/paperless-ngx,15,48
pilot30,paperless-ngx/paperless-ngx,15,52
pilot30,paperless-ngx/paperless-ngx,15,49
pilot30,paperless-ngx/paperless-ngx,15,45
pilot30,paperless-ngx/paperless-ngx,15,47
pilot30,paperless-ngx/paperless-ngx,15,46
pilot30,paperless-ngx/paperless-ngx,15,45
pilot30,paperless-ngx/paperless-ngx,15,44
pilot30,paperless-ngx/paperless-ngx,15,45
pilot30,paperless-ngx/paperless-ngx,15,45
pilot30,paperless-ngx/paperless-ngx,15,47
shuffle1,simple-login/app,1,66
shuffle1,simple-login/app,2,65
shuffle1,simple-login/app,2,70
shuffle1,simple-login/app,2,74
shuffle1,simple-login/app,2,75
shuffle1,simple-login/app,2,67
shuffle1,simple-login/app,2,50
shuffle1,simple-login/app,3,37
shuffle1,simple-login/app,3,35
shuffle1,simple-login/app,3,34
shuffle1,simple-login/app,3,37
shuffle1,simple-login/app,4,63
shuffle1,simple-login/app,4,58
shuffle1,simple-login/app,4,58
shuffle1,simple-login/app,4,44
shuffle1,simple-login/app,4,42
shuffle1,simple-login/app,4,39
shuffle1,simple-login/app,4,45
shuffle1,simple-login/app,4,62
shuffle1,simple-login/app,4,59
shuffle1,simple-login/app,4,57
shuffle1,simple-login/app,4,50
shuffle1,simple-login/app,4,50
shuffle1,simple-login/app,4,43
shuffle1,simple-login/app,4,39
shuffle1,simple-login/app,4,35
shuffle1,simple-login/app,4,43
shuffle1,simple-login/app,5,39
shuffle1,simple-login/app,5,41
shuffle1,simple-login/app,5,55
shuffle1,simple-login/app,5,49
shuffle1,simple-login/app,5,49
shuffle1,simple-login/app,5,49
shuffle1,simple-login/app,5,38
shuffle1,simple-login/app,5,40
shuffle1,simple-login/app,5,47
shuffle1,simple-login/app,6,44
shuffle1,simple-login/app,6,31
shuffle1,simple-login/app,6,46
shuffle1,simple-login/app,6,44
shuffle1,simple-login/app,6,41
shuffle1,simple-login/app,6,41
shuffle1,simple-login/app,6,36
shuffle1,simple-login/app,6,40
shuffle1,simple-login/app,6,35
shuffle1,simple-login/app,6,38
shuffle1,simple-login/app,6,32
shuffle1,simple-login/app,7,57
shuffle1,simple-login/app,7,71
shuffle1,simple-login/app,7,61
shuffle1,simple-login/app,7,65
shuffle1,simple-login/app,7,63
shuffle1,simple-login/app,7,55
shuffle1,simple-login/app,7,47
shuffle1,simple-login/app,7,55
shuffle1,simple-login/app,7,52
shuffle1,simple-login/app,7,53
shuffle1,simple-login/app,7,50
shuffle1,simple-login/app,7,46
shuffle1,simple-login/app,7,45
shuffle1,simple-login/app,8,46
shuffle1,simple-login/app,8,49
shuffle1,simple-login/app,8,69
shuffle1,simple-login/app,8,63
shuffle1,simple-login/app,8,63
shuffle1,simple-login/app,8,61
shuffle1,simple-login/app,8,44
shuffle1,simple-login/app,8,52
shuffle1,simple-login/app,8,56
shuffle1,simple-login/app,8,44
shuffle1,simple-login/app,8,49
shuffle1,simple-login/app,8,37
shuffle1,simple-login/app,8,38
shuffle1,simple-login/app,8,49
shuffle1,simple-login/app,8,46
shuffle1,simple-login/app,8,65
shuffle1,simple-login/app,8,51
shuffle1,simple-login/app,8,62
shuffle1,simple-login/app,8,62
shuffle1,simple-login/app,8,48
shuffle1,simple-login/app,8,39
shuffle1,simple-login/app,8,41
shuffle1,simple-login/app,8,43
shuffle1,simple-login/app,8,60
shuffle1,simple-login/app,8,57
shuffle1,simple-login/app,8,46
shuffle1,simple-login/app,9,47
shuffle1,simple-login/app,9,45
shuffle1,simple-login/app,9,55
shuffle1,simple-login/app,9,55
shuffle1,simple-login/app,9,47
shuffle1,simple-login/app,9,58
shuffle1,simple-login/app,9,52
shuffle1,simple-login/app,9,46
shuffle1,simple-login/app,9,49
shuffle1,simple-login/app,9,50
shuffle1,simple-login/app,9,44
shuffle1,simple-login/app,9,40
shuffle1,simple-login/app,9,45
shuffle1,simple-login/app,10,49
shuffle1,simple-login/app,10,64
shuffle1,simple-login/app,10,53
shuffle1,simple-login/app,10,49
shuffle1,simple-login/app,10,42
shuffle1,simple-login/app,10,42
shuffle1,simple-login/app,10,45
shuffle1,simple-login/app,10,44
shuffle1,simple-login/app,10,37
shuffle1,simple-login/app,10,28
shuffle1,simple-login/app,10,48
shuffle1,simple-login/app,10,38
shuffle1,simple-login/app,10,37
shuffle1,simple-login/app,11,55
shuffle1,simple-login/app,11,46
shuffle1,simple-login/app,11,67
shuffle1,simple-login/app,11,64
shuffle1,simple-login/app,11,59
shuffle1,simple-login/app,11,50
shuffle1,simple-login/app,11,57
shuffle1,simple-login/app,11,58
shuffle1,simple-login/app,11,48
shuffle1,simple-login/app,11,58
shuffle1,simple-login/app,11,55
shuffle1,simple-login/app,11,51
shuffle1,simple-login/app,11,52
shuffle1,simple-login/app,12,41
shuffle1,simple-login/app,12,58
shuffle1,simple-login/app,12,54
shuffle1,simple-login/app,12,55
shuffle1,simple-login/app,12,58
shuffle1,simple-login/app,12,42
shuffle1,simple-login/app,12,45
shuffle1,simple-login/app,12,49
shuffle1,simple-login/app,12,35
shuffle1,simple-login/app,12,54
shuffle1,simple-login/app,12,48
shuffle1,simple-login/app,12,40
shuffle1,simple-login/app,12,31
shuffle1,simple-login/app,13,58
shuffle1,simple-login/app,13,59
shuffle1,simple-login/app,13,74
shuffle1,simple-login/app,13,58
shuffle1,simple-login/app,13,66
shuffle1,simple-login/app,13,39
shuffle1,simple-login/app,13,58
shuffle1,simple-login/app,13,55
shuffle1,simple-login/app,13,47
shuffle1,simple-login/app,13,66
shuffle1,simple-login/app,13,65
shuffle1,simple-login/app,13,52
shuffle1,simple-login/app,13,55
shuffle1,simple-login/app,14,46
shuffle1,simple-login/app,14,51
shuffle1,simple-login/app,14,55
shuffle1,simple-login/app,14,50
shuffle1,simple-login/app,14,56
shuffle1,simple-login/app,14,48
shuffle1,simple-login/app,14,50
shuffle1,simple-login/app,14,54
shuffle1,simple-login/app,14,54
shuffle1,simple-login/app,14,59
shuffle1,simple-login/app,14,56
shuffle1,simple-login/app,14,51
shuffle1,simple-login/app,14,42
shuffle1,simple-login/app,14,56
shuffle1,simple-login/app,14,46
shuffle1,simple-login/app,14,61
shuffle1,simple-login/app,14,64
shuffle1,simple-login/app,14,54
shuffle1,simple-login/app,14,54
shuffle1,simple-login/app,14,55
shuffle1,simple-login/app,14,61
shuffle1,simple-login/app,14,52
shuffle1,simple-login/app,14,46
shuffle1,simple-login/app,14,53
shuffle1,simple-login/app,14,49
shuffle1,simple-login/app,14,42
shuffle1,simple-login/app,15,62
shuffle1,simple-login/app,15,48
shuffle1,simple-login/app,15,63
shuffle1,simple-login/app,15,59
shuffle1,simple-login/app,15,61
shuffle1,simple-login/app,15,60
shuffle1,simple-login/app,15,51
shuffle1,simple-login/app,15,55
shuffle1,simple-login/app,15,36
shuffle1,simple-login/app,15,46
shuffle1,simple-login/app,15,42
shuffle1,simple-login/app,15,55
shuffle1,simple-login/app,15,47
shuffle1,simple-login/app,15,49
shuffle1,simple-login/app,15,50
shuffle1,simple-login/app,15,45
shuffle1,simple-login/app,15,46
shuffle1,simple-login/app,15,47
shuffle1,simple-login/app,15,43
shuffle1,simple-login/app,15,49
shuffle1,simple-login/app,15,41
shuffle1,simple-login/app,15,54
shuffle1,simple-login/app,15,40
shuffle1,simple-login/app,15,38
shuffle1,simple-login/app,15,43
shuffle1,simple-login/app,15,48
shuffle1,simple-login/app,15,67
shuffle1,simple-login/app,15,64
shuffle1,simple-login/app,15,62
shuffle1,simple-login/app,15,58
shuffle1,simple-login/app,15,43
shuffle1,simple-login/app,15,57
shuffle1,simple-login/app,15,51
shuffle1,simple-login/app,15,54
shuffle1,simple-login/app,15,54
shuffle1,simple-login/app,15,50
shuffle1,simple-login/app,15,48
shuffle1,simple-login/app,15,51
shuffle1,simple-login/app,15,49
shuffle1,simple-login/app,15,42
shuffle1,simple-login/app,15,45
shuffle1,simple-login/app,15,41
shuffle1,simple-login/app,15,33
shuffle1,simple-login/app,15,40
shuffle1,paperless-ngx/paperless-ngx,1,51
shuffle1,paperless-ngx/paperless-ngx,1,49
shuffle1,paperless-ngx/paperless-ngx,2,40
shuffle1,paperless-ngx/paperless-ngx,2,50
shuffle1,paperless-ngx/paperless-ngx,3,73
shuffle1,paperless-ngx/paperless-ngx,3,65
shuffle1,paperless-ngx/paperless-ngx,3,41
shuffle1,paperless-ngx/paperless-ngx,4,51
shuffle1,paperless-ngx/paperless-ngx,4,49
shuffle1,paperless-ngx/paperless-ngx,4,32
shuffle1,paperless-ngx/paperless-ngx,5,67
shuffle1,paperless-ngx/paperless-ngx,5,63
shuffle1,paperless-ngx/paperless-ngx,5,62
shuffle1,paperless-ngx/paperless-ngx,5,40
shuffle1,paperless-ngx/paperless-ngx,5,65
shuffle1,paperless-ngx/paperless-ngx,5,61
shuffle1,paperless-ngx/paperless-ngx,5,59
shuffle1,paperless-ngx/paperless-ngx,5,56
shuffle1,paperless-ngx/paperless-ngx,5,56
shuffle1,paperless-ngx/paperless-ngx,5,38
shuffle1,paperless-ngx/paperless-ngx,5,54
shuffle1,paperless-ngx/paperless-ngx,6,62
shuffle1,paperless-ngx/paperless-ngx,6,61
shuffle1,paperless-ngx/paperless-ngx,6,59
shuffle1,paperless-ngx/paperless-ngx,6,60
shuffle1,paperless-ngx/paperless-ngx,6,58
shuffle1,paperless-ngx/paperless-ngx,6,57
shuffle1,paperless-ngx/paperless-ngx,6,37
shuffle1,paperless-ngx/paperless-ngx,6,56
shuffle1,paperless-ngx/paperless-ngx,6,47
shuffle1,paperless-ngx/paperless-ngx,6,42
shuffle1,paperless-ngx/paperless-ngx,6,40
shuffle1,paperless-ngx/paperless-ngx,6,41
shuffle1,paperless-ngx/paperless-ngx,6,42
shuffle1,paperless-ngx/paperless-ngx,6,35
shuffle1,paperless-ngx/paperless-ngx,7,67
shuffle1,paperless-ngx/paperless-ngx,7,60
shuffle1,paperless-ngx/paperless-ngx,7,63
shuffle1,paperless-ngx/paperless-ngx,7,59
shuffle1,paperless-ngx/paperless-ngx,7,56
shuffle1,paperless-ngx/paperless-ngx,7,54
shuffle1,paperless-ngx/paperless-ngx,7,48
shuffle1,paperless-ngx/paperless-ngx,7,44
shuffle1,paperless-ngx/paperless-ngx,7,44
shuffle1,paperless-ngx/paperless-ngx,7,43
shuffle1,paperless-ngx/paperless-ngx,7,40
shuffle1,paperless-ngx/paperless-ngx,7,41
shuffle1,paperless-ngx/paperless-ngx,7,38
shuffle1,paperless-ngx/paperless-ngx,7,34
shuffle1,paperless-ngx/paperless-ngx,8,50
shuffle1,paperless-ngx/paperless-ngx,8,49
shuffle1,paperless-ngx/paperless-ngx,8,50
shuffle1,paperless-ngx/paperless-ngx,8,48
shuffle1,paperless-ngx/paperless-ngx,8,37
shuffle1,paperless-ngx/paperless-ngx,8,45
shuffle1,paperless-ngx/paperless-ngx,8,46
shuffle1,paperless-ngx/paperless-ngx,9,61
shuffle1,paperless-ngx/paperless-ngx,9,58
shuffle1,paperless-ngx/paperless-ngx,9,56
shuffle1,paperless-ngx/paperless-ngx,9,53
shuffle1,paperless-ngx/paperless-ngx,9,57
shuffle1,paperless-ngx/paperless-ngx,9,56
shuffle1,paperless-ngx/paperless-ngx,9,46
shuffle1,paperless-ngx/paperless-ngx,9,54
shuffle1,paperless-ngx/paperless-ngx,9,39
shuffle1,paperless-ngx/paperless-ngx,9,39
shuffle1,paperless-ngx/paperless-ngx,9,40
shuffle1,paperless-ngx/paperless-ngx,9,62
shuffle1,paperless-ngx/paperless-ngx,9,64
shuffle1,paperless-ngx/paperless-ngx,9,60
shuffle1,paperless-ngx/paperless-ngx,9,55
shuffle1,paperless-ngx/paperless-ngx,9,45
shuffle1,paperless-ngx/paperless-ngx,9,47
shuffle1,paperless-ngx/paperless-ngx,9,43
shuffle1,paperless-ngx/paperless-ngx,9,42
shuffle1,paperless-ngx/paperless-ngx,9,43
shuffle1,paperless-ngx/paperless-ngx,9,43
