replicate,arm,task_id,repository,repo_block,position,global_position,agg_score,is_failure,inputTokens,outputTokens,runtimeSec,turns
pilot30,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,8,23,0.7692307692307693,False,1027472.0,3932.0,253.152,29
pilot30,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,9,24,0.5833333333333334,False,1494320.0,4291.0,424.29,37
pilot30,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,10,25,0.8,False,2036080.0,6085.0,508.267,54
pilot30,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,11,26,0.8333333333333334,False,1052845.0,6462.0,213.581,29
pilot30,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,12,27,0.75,False,1243195.0,7845.0,352.369,25
pilot30,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,13,28,0.6,False,1599305.0,7230.0,573.086,46
pilot30,control,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,1,14,29,0.3333333333333333,False,2002527.0,8541.0,516.802,40
pilot30,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,15,30,0.625,False,2711562.0,8313.0,664.226,62
pilot30,global,task-6905333b74f22949d97ba9a5,simple-login/app,0,2,2,0.6923076923076923,False,1493830.0,10060.0,1518.847,40
pilot30,global,task-6905333b74f22949d97ba9a6,simple-login/app,0,3,3,0.8181818181818182,False,,,7682.015,179
pilot30,global,task-6905333b74f22949d97ba9a7,simple-login/app,0,4,4,1.0,False,1535273.0,6814.0,994.583,40
pilot30,global,task-6905333b74f22949d97ba9a8,simple-login/app,0,5,5,1.0,False,781208.0,4468.0,849.103,23
pilot30,global,task-6905333b74f22949d97ba9a9,simple-login/app,0,6,6,0.7,False,4851774.0,18130.0,3414.003,110
pilot30,global,task-6905333b74f22949d97ba9aa,simple-login/app,0,7,7,0.6666666666666666,False,3901765.0,8819.0,1596.676,84
pilot30,global,task-6905333b74f22949d97ba9ab,simple-login/app,0,8,8,0.8571428571428571,False,1603108.0,7214.0,870.162,41
pilot30,global,task-6905333b74f22949d97ba9ac,simple-login/app,0,9,9,0.9,False,4173712.0,16938.0,2053.904,81
pilot30,global,task-6905333b74f22949d97ba9ad,simple-login/app,0,10,10,0.8181818181818182,False,3913565.0,8433.0,1266.029,76
pilot30,global,task-6905333b74f22949d97ba9ae,simple-login/app,0,11,11,0.5833333333333334,False,2462347.0,7940.0,1177.398,76
pilot30,global,task-6905333b74f22949d97ba9af,simple-login/app,0,12,12,0.9230769230769231,False,3657121.0,10898.0,1093.479,91
pilot30,global,task-6905333b74f22949d97ba9b2,simple-login/app,0,13,13,1.0,False,1631438.0,9872.0,600.445,51
pilot30,global,task-6905333b74f22949d97ba9e8,simple-login/app,0,14,14,0.5333333333333333,False,5238903.0,13792.0,1136.15,107
pilot30,global,task-6905333b74f22949d97baa1d,simple-login/app,0,15,15,0.75,False,3195293.0,15023.0,874.229,81
pilot30,global,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,2,17,1.0,False,2372892.0,9461.0,788.809,59
pilot30,global,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,3,18,0.9090909090909091,False,2856351.0,7587.0,878.169,59
pilot30,global,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,1,4,19,1.0,False,1060640.0,9462.0,481.691,25
pilot30,global,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,5,20,0.9090909090909091,False,6800432.0,14859.0,2249.417,156
pilot30,global,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,1,6,21,0.42857142857142855,False,1600866.0,6557.0,580.072,37
pilot30,global,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,7,22,0.9,False,2428396.0,6196.0,714.729,54
pilot30,global,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,8,23,0.8461538461538461,False,589943.0,4588.0,324.396,26
pilot30,global,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,9,24,0.5833333333333334,False,2243549.0,6159.0,669.227,49
pilot30,global,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,10,25,0.7,False,899918.0,6353.0,406.157,26
pilot30,global,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,11,26,0.9166666666666666,False,1654800.0,6897.0,549.589,36
pilot30,global,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,12,27,0.875,False,2761123.0,8910.0,987.131,92
pilot30,global,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,13,28,0.6,False,1709135.0,8217.0,737.885,43
pilot30,global,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,1,14,29,0.5555555555555556,False,2521722.0,8426.0,857.878,47
pilot30,global,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,15,30,0.375,False,4686959.0,16944.0,1604.148,111
shuffle1,control,task-6905333b74f22949d97ba9ae,simple-login/app,0,2,2,0.5,False,1422139.0,6036.0,651.531,44
shuffle1,control,task-6905333b74f22949d97ba9af,simple-login/app,0,3,3,0.7692307692307693,False,7234956.0,17242.0,1961.466,135
shuffle1,control,task-6905333b74f22949d97baa1d,simple-login/app,0,5,5,0.75,False,1078698.0,7182.0,497.074,34
shuffle1,control,task-6905333b74f22949d97ba9a5,simple-login/app,0,6,6,0.8461538461538461,False,2228972.0,8827.0,827.688,55
shuffle1,control,task-6905333b74f22949d97ba9a6,simple-login/app,0,14,14,0.8181818181818182,False,,,3769.444,140
shuffle1,control,task-6905333b74f22949d97ba9a7,simple-login/app,0,15,15,1.0,False,3258322.0,7563.0,1068.314,84
shuffle1,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,2,17,0.75,False,1827889.0,8925.0,593.579,41
shuffle1,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,3,18,0.5,False,1936649.0,6969.0,538.017,51
shuffle1,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,4,19,0.8461538461538461,False,1057055.0,6000.0,450.377,48
shuffle1,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,5,20,0.9090909090909091,False,2090245.0,7065.0,655.887,58
shuffle1,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,6,21,1.0,False,2603704.0,9143.0,1275.943,70
shuffle1,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,7,22,1.0,False,2085361.0,7613.0,753.138,49
shuffle1,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,8,23,0.5833333333333334,False,1862066.0,8674.0,548.182,41
shuffle1,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,9,24,0.9,False,1160862.0,5417.0,325.246,27
shuffle1,control,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,10,25,1.0,False,3557213.0,10293.0,1039.71,85
shuffle1,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,12,27,1.0,False,2154714.0,6541.0,715.741,55
shuffle1,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,13,28,0.875,False,1868181.0,5881.0,737.133,62
shuffle1,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,14,29,0.9090909090909091,False,2708451.0,7499.0,1096.878,75
shuffle1,global,task-6905333b74f22949d97ba9ae,simple-login/app,0,2,2,0.6666666666666666,False,1353774.0,8980.0,1817.37,40
shuffle1,global,task-6905333b74f22949d97ba9af,simple-login/app,0,3,3,0.6153846153846154,False,4362204.0,10359.0,2898.178,104
shuffle1,global,task-6905333b74f22949d97baa1d,simple-login/app,0,5,5,0.875,False,1721548.0,19554.0,1358.236,62
shuffle1,global,task-6905333b74f22949d97ba9a5,simple-login/app,0,6,6,0.6153846153846154,False,1007201.0,5939.0,279.197,26
shuffle1,global,task-6905333b74f22949d97ba9a6,simple-login/app,0,14,14,0.8181818181818182,False,8441146.0,22599.0,3320.114,125
shuffle1,global,task-6905333b74f22949d97ba9a7,simple-login/app,0,15,15,0.9230769230769231,False,2024303.0,7478.0,859.17,55
shuffle1,global,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,2,17,0.625,False,2883534.0,10495.0,850.459,55
shuffle1,global,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,3,18,0.7,False,1385060.0,7651.0,647.397,32
shuffle1,global,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,4,19,0.8461538461538461,False,2754122.0,9502.0,1240.027,76
shuffle1,global,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,5,20,0.7272727272727273,False,1786736.0,6503.0,797.002,50
shuffle1,global,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,6,21,0.7,False,2149907.0,7202.0,865.54,65
shuffle1,global,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,7,22,0.9166666666666666,False,1914077.0,6422.0,740.051,44
shuffle1,global,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,8,23,0.6666666666666666,False,3105589.0,8394.0,1214.243,64
shuffle1,global,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,9,24,0.9,False,1523594.0,10319.0,834.853,40
shuffle1,global,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,10,25,1.0,False,3767241.0,12484.0,1813.318,74
shuffle1,global,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,12,27,1.0,False,2124485.0,13075.0,2560.949,59
shuffle1,global,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,13,28,0.0,False,,,,50
shuffle1,global,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,14,29,0.8181818181818182,False,1339284.0,8518.0,1695.247,44
shuffle2,control,task-6905333b74f22949d97ba9a9,simple-login/app,0,3,3,0.5,False,3988880.0,17399.0,1912.938,85
shuffle2,control,task-6905333b74f22949d97ba9ab,simple-login/app,0,4,4,0.7142857142857143,False,,,,232
shuffle2,control,task-6905333b74f22949d97ba9af,simple-login/app,0,9,9,0.7692307692307693,False,5688191.0,22434.0,1815.593,114
shuffle2,control,task-6905333b74f22949d97ba9ae,simple-login/app,0,10,10,0.6666666666666666,False,3318211.0,6429.0,816.567,57
shuffle2,control,task-6905333b74f22949d97ba9aa,simple-login/app,0,11,11,0.6666666666666666,False,2058000.0,7043.0,476.88,45
shuffle2,control,task-6905333b74f22949d97ba9a5,simple-login/app,0,12,12,0.7692307692307693,False,2580903.0,8835.0,642.296,62
shuffle2,control,task-6905333b74f22949d97ba9a4,simple-login/app,0,14,14,1.0,False,3371793.0,7818.0,841.23,71
shuffle2,control,task-6905333b74f22949d97ba9ad,simple-login/app,0,15,15,0.5454545454545454,False,4260894.0,9480.0,1066.888,87
shuffle2,control,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,1,16,0.4,False,1425304.0,12100.0,940.64,39
shuffle2,control,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,2,17,0.9,False,1632510.0,7262.0,631.037,36
shuffle2,control,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,3,18,0.875,False,1737588.0,5832.0,531.686,54
shuffle2,control,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,4,19,0.9090909090909091,False,1470232.0,7793.0,552.697,42
shuffle2,control,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,5,20,0.9166666666666666,False,994772.0,5754.0,279.356,23
shuffle2,control,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,6,21,0.6,False,1807263.0,7651.0,503.202,59
shuffle2,control,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,7,22,0.8461538461538461,False,1424721.0,6110.0,342.856,50
shuffle2,control,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,8,23,0.75,False,2697406.0,11131.0,793.331,70
shuffle2,control,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,9,24,0.8181818181818182,False,2704942.0,6420.0,515.697,78
shuffle2,control,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,10,25,0.6666666666666666,False,1816778.0,5949.0,480.231,39
shuffle2,control,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,11,26,1.0,False,2506307.0,8542.0,779.095,73
shuffle2,control,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,1,12,27,0.6428571428571429,False,2326396.0,7621.0,641.952,65
shuffle2,control,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,1,14,29,1.0,False,1243338.0,7560.0,465.149,32
shuffle2,global,task-6905333b74f22949d97ba9a9,simple-login/app,0,3,3,0.7,False,2703268.0,6862.0,1663.79,62
shuffle2,global,task-6905333b74f22949d97ba9ab,simple-login/app,0,4,4,0.8571428571428571,False,5327072.0,23774.0,4207.127,120
shuffle2,global,task-6905333b74f22949d97ba9af,simple-login/app,0,9,9,0.7692307692307693,False,6290969.0,14977.0,2480.151,98
shuffle2,global,task-6905333b74f22949d97ba9ae,simple-login/app,0,10,10,0.5,False,2867634.0,10135.0,1173.416,69
shuffle2,global,task-6905333b74f22949d97ba9aa,simple-login/app,0,11,11,0.8333333333333334,False,3794639.0,9472.0,1184.749,58
shuffle2,global,task-6905333b74f22949d97ba9a5,simple-login/app,0,12,12,0.9230769230769231,False,2398449.0,9635.0,1006.538,66
shuffle2,global,task-6905333b74f22949d97ba9a4,simple-login/app,0,14,14,1.0,False,2526415.0,9117.0,844.87,53
shuffle2,global,task-6905333b74f22949d97ba9ad,simple-login/app,0,15,15,0.7272727272727273,False,2510620.0,8316.0,923.233,60
shuffle2,global,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,1,16,0.7,False,2211849.0,8662.0,1057.682,52
shuffle2,global,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,1,2,17,0.9,False,1668454.0,7415.0,778.024,34
shuffle2,global,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,1,3,18,1.0,False,1080211.0,5598.0,554.156,33
shuffle2,global,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,1,4,19,0.8181818181818182,False,1376557.0,6680.0,888.669,38
shuffle2,global,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,5,20,1.0,False,1570840.0,6386.0,1385.762,36
shuffle2,global,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,6,21,0.8,False,1526991.0,9751.0,1882.393,37
shuffle2,global,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,1,7,22,0.8461538461538461,False,1880734.0,9290.0,1985.804,57
shuffle2,global,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,8,23,0.5,False,2625982.0,9446.0,2237.646,58
shuffle2,global,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,1,9,24,0.7272727272727273,False,2627515.0,8745.0,2886.138,60
shuffle2,global,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,10,25,0.5,False,2172288.0,6147.0,1580.097,34
shuffle2,global,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,1,11,26,1.0,False,1734990.0,7565.0,1512.259,50
shuffle2,global,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,1,12,27,0.7142857142857143,False,963957.0,13629.0,1901.688,21
shuffle2,global,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,1,14,29,0.9090909090909091,False,1655048.0,9451.0,1880.243,38
