replicate,task_id,repository,position,repo_block,agg_score_control,agg_score_global,is_failure_control,is_failure_global,delta
shuffle1,task-6905333b74f22949d97ba9af,simple-login/app,3,0,0.7692307692307693,0.6153846153846154,0.0,0.0,-0.15384615384615385
shuffle1,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,12,1,1.0,1.0,0.0,0.0,0.0
shuffle1,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,13,1,0.875,0.0,0.0,0.0,-0.875
shuffle1,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,5,1,0.9090909090909092,0.7272727272727273,0.0,0.0,-0.18181818181818188
shuffle1,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,14,1,0.9090909090909092,0.8181818181818182,0.0,0.0,-0.09090909090909094
shuffle1,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,9,1,0.9,0.9,0.0,0.0,0.0
shuffle1,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,4,1,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0
shuffle1,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,8,1,0.5833333333333334,0.6666666666666666,0.0,0.0,0.08333333333333326
shuffle1,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,6,1,1.0,0.7,0.0,0.0,-0.30000000000000004
shuffle1,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,7,1,1.0,0.9166666666666666,0.0,0.0,-0.08333333333333337
shuffle1,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,10,1,1.0,1.0,0.0,0.0,0.0
shuffle1,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,3,1,0.5,0.7,0.0,0.0,0.19999999999999996
shuffle1,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,2,1,0.75,0.625,0.0,0.0,-0.125
shuffle1,task-6905333b74f22949d97baa1d,simple-login/app,5,0,0.75,0.875,0.0,0.0,0.125
shuffle2,task-6905333b74f22949d97ba9a4,simple-login/app,14,0,1.0,1.0,0.0,0.0,0.0
shuffle2,task-6905333b74f22949d97ba9a5,simple-login/app,12,0,0.7692307692307693,0.9230769230769232,0.0,0.0,0.15384615384615397
shuffle2,task-6905333b74f22949d97ba9a9,simple-login/app,3,0,0.5,0.7,0.0,0.0,0.19999999999999996
shuffle2,task-6905333b74f22949d97ba9aa,simple-login/app,11,0,0.6666666666666666,0.8333333333333334,0.0,0.0,0.16666666666666674
shuffle2,task-6905333b74f22949d97ba9ab,simple-login/app,4,0,0.7142857142857143,0.8571428571428571,0.0,0.0,0.1428571428571428
shuffle2,task-6905333b74f22949d97ba9ad,simple-login/app,15,0,0.5454545454545454,0.7272727272727273,0.0,0.0,0.18181818181818188
shuffle2,task-6905333b74f22949d97ba9ae,simple-login/app,10,0,0.6666666666666666,0.5,0.0,0.0,-0.16666666666666663
shuffle2,task-6905333b74f22949d97ba9af,simple-login/app,9,0,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0
shuffle2,task-6905333b74f22949d97ba9d0,paperless-ngx/paperless-ngx,11,1,1.0,1.0,0.0,0.0,0.0
shuffle2,task-6905333b74f22949d97ba9d1,paperless-ngx/paperless-ngx,3,1,0.875,1.0,0.0,0.0,0.125
shuffle2,task-6905333b74f22949d97ba9d2,paperless-ngx/paperless-ngx,4,1,0.9090909090909092,0.8181818181818182,0.0,0.0,-0.09090909090909094
shuffle2,task-6905333b74f22949d97ba9d3,paperless-ngx/paperless-ngx,14,1,1.0,0.9090909090909092,0.0,0.0,-0.09090909090909083
shuffle2,task-6905333b74f22949d97ba9d4,paperless-ngx/paperless-ngx,9,1,0.8181818181818182,0.7272727272727273,0.0,0.0,-0.09090909090909094
shuffle2,task-6905333b74f22949d97ba9d5,paperless-ngx/paperless-ngx,12,1,0.6428571428571429,0.7142857142857143,0.0,0.0,0.0714285714285714
shuffle2,task-6905333b74f22949d97ba9d6,paperless-ngx/paperless-ngx,2,1,0.9,0.9,0.0,0.0,0.0
shuffle2,task-6905333b74f22949d97ba9d7,paperless-ngx/paperless-ngx,7,1,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0
shuffle2,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,10,1,0.6666666666666666,0.5,0.0,0.0,-0.16666666666666663
shuffle2,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,6,1,0.6,0.8,0.0,0.0,0.20000000000000007
shuffle2,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,5,1,0.9166666666666666,1.0,0.0,0.0,0.08333333333333337
shuffle2,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,1,0.4,0.7,0.0,0.0,0.29999999999999993
shuffle2,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,8,1,0.75,0.5,0.0,0.0,-0.25
